proj_id,proj_lgl_name
P098167,(APL1) Bono de Desarrollo Humano
P098217,Education System Realignment & Strengthening Program (APL #2)
P098248,Adaptation to the Impact of Rapid Glacier Retreat in the Tropical Andes
P098256,Afghanistan: Horticulture and Livestock Productivity Project
P098266,Community Empowerment Project
P098273,Local Governance Support Project
P098299,MX Competitiveness DPL
P098328,Social Protection Project
P098358,Afghanistan Health (supplement)
P098376,Public Finance and Institutional Development Policy Loan
P098378,"Second Phase Community Based Rural Development Project,"
P098410,Strengthening the National Statistical System
P098423,Sustainable Energy Financing Program
P098426,Governance Assistance Project
P098459,Morocco Oum Er Rbia Sanitation
P098483,Sudan Multi-donor Trust Fund for Decentralized Health System Development Project
P098495,Southern Sudan Umbrella Program for Health System Development
P098496,Science & Technology Higher Education
P098531,HT Electricity Project
P098538,Sustainable Land and Water Management
P098548,Second Programmatic Development Policy Loan
P098576,Republic of Congo - Emergency  Reintegration Program
P098583,Integrated Human Development Project- Restoration of Post-Tsunami Cancelled Funds
P098639,Core Fiduciary Systems Support Project (TF056336)
P098654,Thermal Power Efficiency
P098742,Guinea- GEF- Electricity Sector Efficiency Improvement Project
P098770,AFCC2/RI East Africa Trade and Transport Facilitation Project
P098792,Health Sector Support Project - Additional Financing
P098837,SD - National Emergency Transport Rehabilitation Project
P098838,GEF - Mainstreaming Market-Based Instruments for Environmental Management Project
P098850,Infrastructure Pre-Investment Facility
P098866,NWFP SAC II -- Supplemental Financing
P098867,PK PRSC I - Supplemental Financing
P098889,Cotton Sector Recovery Project
P098915,GEF Sino-Singapore Tianjin Eco-City
P098916,China Energy Efficiency Financing
P098926,eRwanda Project
P098948,Inland Waters Project
P098949,Second Village Investment Project
P098956,Post-Primary Education
P098959,Village Community Support Program - Phase  I - Additional Financing Grant
P098963,Rural & Social Policy DPL II
P098964,PRSC III
P098979,Iraq: Household Survey and Policies for Poverty Reduction
P099010,Poverty Reduction Support Credit (7)
P099011,Poverty Reduction Support Credit (8)
P099033,Poverty Reduction Support Credit (9)
P099038,Additional Financing for Rehabilitating Earthquake Affected Communities
P099040,HIGHWAYS REHABILITATION PROJECT
P099043,NWFP-OFWM - Earthquake Additional Financing
P099046,AJK-Community Infrastructure and Services Project (AJK-CISP) - Earthquake Additional Financing
P099047,India: Vocational Training Improvement Project
P099051,AR Santa Fe Road Infrastructure
P099059,Dokan and Derbandikhan Emergency Hydro Power Project
P099062,ShiZheng Railway Project
P099099,Rehabilitation & Completion of Irrigation & Drainage Infrastructure Additional Financing Project
P099110,PK: Pakistan Earthquake ERC
P099112,Anhui Highway Rehabilitation and Improvement Project
P099121,Water Sector Project - Additional Financing
P099126,Institutional Capacity Building Project for Procurement
P099139,"Strengthening Public Information, Monitoring, Evaluation for Results Management in Colombia"
P099166,Poverty Reduction Support Credit (PRSC)
P099179,Yemen: Education for All - Calalytic Fund II
P099201,Judicial Modernization Project
P099211,Rural Distribution Project
P099224,Liaoning Third Medium Cities Infrastructure
P099226,Juba Rapid Impact Emergency Project (TF055976)
P099231,Financial Sector Support Project
P099270,SOUTH-WEST ROADS:  WESTERN EUROPE-WESTERN CHINA INTERNATIONAL TRANSIT CORRIDOR (CAREC 1B & 6B)
P099287,Fifth Poverty Reduction Support Credit
P099295,Emergency Social Protection Project
P099296,NP Irrigation & Water Resources Management Project
P099313,MW-PRSC-1
P099321,Renewable Energy for Rural Access Project (REAP)
P099327,Fifth Population Census of Sudan
P099357,Sierra Leone Mineral Sector Technical Assistance
P099369,Ceara Regional Economic Development: Cidades do Ceara
P099376,Tax Administration Modernization Project
P099420,Poverty Reduction Strategy Credit
P099453,Avian Influenza Control & Human Pandemic Preparedness & Response Project
P099460,Vietnam PCB Management Project
P099469,Second National Environmental Project - Phase II
P099480,ROAD SECTOR DEVELOPMENT PHASE II PROJECT IN SUPPORT OF RSDPII SUPPLIMENT
P099528,GEF Romania Integrated Nutrient Pollution Control Project
P099537,MDF Aceh - Partner Agency Implemented Projects in the Recovery of Communities in Aceh and Nias
P099542,PK Earthquake Disability
P099585,AR Cordoba Road Infrastructure
P099618,MA-Energy Sector DPL
P099626,Energy Sector Support Project
P099630,Judicial Reform Project 2
P099652,Additional Financing for Maldives Educ & Trg III
P099692,North Sudan Capacity Building of the National Judiciary
P099709,Mali Sustainable Land Management
P099738,Local Government Support Project - Scale-up
P099751,Sustainable Development in Poor Rural Areas
P099757,Geothermal Power Generation Development
P099808,Avian Influenza Control & Human Pandemic Preparedness & Response Project
P099811,TN-Tunis West Sewerage
P099832,Avian Influenza Preparedness Project
P099833,Economic & Monetary Community of Central Africa Financial Institutions
P099840,Public Financial Management Modernization
P099841,Avian Influenza Control & Human Pandemic Preparedness & Response Project
P099882,Third Poverty Reduction Support Operation
P099894,ROAD INFRASTRUCTURE REHABILITATION PROJECT
P099895,Municipal Infrastructure Development
P099918,HT Education For All Adaptable Program Grant Phase 1
P099924,Corporate and Public Sector Accountivility Project
P099930,Health Service Delivery Project
P099979,Capacity Building for Urban Development Project
P099980,PUBLIC FINANCIAL MANAGEMENT REFORM PROJECT
P099992,Liaoning Medium Cities Infrastructure Project
P100026,National Initiative for Human Development Support Project (INDH)
P100047,EG-Ain Sokhna Power Project
P100078,2nd Mining Sector Cap.Building Supplemental
P100081,Avian and Human Influenza Control and Preparedness Project
P100084,Avian and Human Influenza Control and Preparedness Emergency Project
P100096,South Sudan Justice Support Project
P100101,Coal-Fired Generation Rehabilitation
P100122,Avian Influenza Control and Human Pandemic Preparedness and Response Project for Nigeria
P100154,BR AF for the Federal Water Resources Management Project
P100155,Highways Rehabilitation Project
P100160,Emergency Infrastructure Project
P100198,Critical Ecosystem Partnership Fund 2
P100218,ID-Aceh-Infra. Reconstr Enabling Program (IREP)
P100273,Avian Influenza Control and Human Pandemic Preparedness and Response Project
P100304,India: Uttar Pradesh Health Systems Strengthening Project (UPHSSP)
P100311,Solomon Islands Sustainable Energy
P100314,Tax Modernization Project
P100327,Third Development Policy Loan
P100330,Railway Reform Programmatic Development Policy Credit
P100332,Bhutan Second Rural Access Project
P100342,Avian Influenza Control Project
P100383,Istanbul Municipal Infrastructure Project
P100390,Sri Lanka: Puttalam Housing Project
P100397,MA-Regional Potable Water Supply Systems Project
P100406,AFCC2/RI-Lake Victoria Environmental Management Project Phase II
P100415,Avian Influenza Preparedness Project
P100438,Adaptation to Climate Change Impacts on the Coastal Wetlands in the Gulf of Mexico
P100451,Avian Influenza and Human Pandemic Preparedness and Response Project
P100455,Henan  Ecological Livestock Project
P100470,Avian Influenza Control & Human Pandemic Preparedness & Response Project
P100478,Managing Healthcare Waste and PCBs
P100530,INDIA - Financing Energy Efficiency at MSMEs
P100531,Coal-Fired Generation Rehabilitation
P100534,Jordan Employer Driven Skills Development Project
P100546,Jordan Social Protection Enhancement Project
P100564,Haiti Economic Governance Reform Operation II
P100568,Avian and Human Influenza Prevention and Control Project
P100580,Roads and Safety Improvement
P100582,REAL ESTATE REGISTRATION
P100584,Chiller Energy Efficiency
P100589,Sustainable Urban Transport (GEF)
P100619,Ghana Urban Transport Project
P100620,Forest and Nature Conservation Project
P100635,OECS E-Government for Regional Integration Program (APL)
P100638,Complementing EU Support for Agricultural Restructuring Project (CESAR)
P100639,Agricultural Pollution Control Project
P100657,Social Inclusion Project
P100667,Highway 2 - Additional Financing
P100668,Second Additional Financing Highway II
P100706,Development Policy Loan
P100726,ESCRP - Additional Financing
P100735,IN Orissa Community Tank Management Project
P100740,Project for Indonesian Tax Administration Reform (PINTAR)
P100762,Kenya Arid Lands Resource Management Project Emergency Additional Financing
P100766,ID-KDP Nias
P100785,West and Central Africa Air Transport Safety & Security Project - APL Phase 2
P100789,IN Andhra Pradesh and Telangana State Community- Based Tank Management
P100791,Additional Financing for the Rural Poverty Reduction Project - Cearï¿½
P100792,ROAD INFRASTRUCTURE AND SAFETY PROJECT
P100804,Additional Financing for the Services Support Credit
P100806,AR Sustainable Natural Resources Management (formerly Sustainable Forestry Development)
P100807,POVERTY REDUCTION SUPPORT CREDIT III
P100835,Rural Water Supply and Sanitation
P100846,Sindh DPC
P100854,Ministry of Public Works DPL
P100916,Vietnam Third Rural Finance Project
P100929,Road Sector Program Support Project
P100935,Avian Influenza Control and Human Pandemic Preparedness and Response Project
P100954,Water Sector Improvement Project
P100965,Debt Relief Grant Under the Enhanced HIPC Initiative
P100966,Second Community Nutrition-Additional Financing
P100968,Shanxi Coal Bed Methane Development and Utilization
P100980,Institutional and Human Development in South Sudan
P101076,Climate Change Adaptation Program
P101084,BO:  Investing in Children and Youth
P101086,Results and Accoutability (REACT) DPL
P101103,Egypt National Railways Restructuring Project
P101124,Uruguay Additional Financing Foot & Mouth Disease Emergency Recovery Loan - Ln. 7421-0 UY
P101156,Demand for Good Governance Project
P101160,Health Sector Development Support
P101170,Second State Modernization
P101171,AR SOC&FISC NTL ID SYS II
P101177,Second Results and Accountability (REACT) Development Policy Loan-Deferred Drawdawn Option
P101190,Water Supply and Sanitation Project
P101201,Cairo Airport Development Project-TB2
P101206,Expanding Access to Reduce Health Inequities Project (APL III)--Former Health Sector Reform - Third Phase (APL III)
P101209,Honduras Rural Competitiveness Project
P101211,Support for the Second Phase of the Expansion of the Program of Conditional Transfers-Familias en Acciï¿½n Project
P101213,Agriculture and Rural Development Project
P101214,Real Estate Cadastre and Registration
P101216,Agriculture Strengthening and Accession Project
P101218,"Honduras Education Quality, Governance, & Institutional Strengthening"
P101229,Sixth Poverty Reduction Support Credit (PRSC6)
P101230,Tanzania Seventh Poverty Reduction Support Credit
P101231,Seventh Poverty Reduction Support Credit (PRSC7)
P101232,Uganda Eighth Poverty Reduction Support Credit
P101243,Punjab Education Development Policy Credit - IV
P101258,Hubei Yiba Highway
P101277,Additional Financing for Peace and Development Project
P101279,Solid Waste Management Program Project
P101289,GZ-Gaza Water Supply & Sewage System Improvement
P101296,PDPL 3
P101298,Second Participatory Rural Investment
P101301,CO Third Sustainable Develop DPL III
P101311,GT DPL III
P101321,Fiscal and Debt Sustainability Development Policy Loan
P101322,GD TAC
P101324,Minas Gerais Partnership II SWAP
P101335,Fiscal Management and Competitiveness Development Policy Loan
P101336,Strengthening Statistical Capacity and Informational Base for Evidence-Based Planning
P101342,MX Affordable Housing and Urban Poverty Reduction Development Policy Loan III
P101356,Integrated Mass Transit System - Additional Financing
P101359,Additional Financing for the Rural Poverty Reduction Project - Piauï¿½
P101369,Compensatory Education
P101388,South Kordofan State Emergency Project
P101392,Emergency Energy Assistance
P101414,Eastern Caribbean Energy Regulatory Authority (ECERA)
P101415,SENEGAL: TRANSPORT & URBAN MOBILITY PROJECT
P101425,"Education for All, Fast Track Initiative Catalytic Fund for Tajikistan"
P101426,Lake Titicaca Local Sustainable Development
P101432,UY APL2 OSE Modernization & Systems Rehabilitation Project
P101434,Transport Sector Program Support Project
P101445,DJIBOUTI CATALYTIC FUND FOR EDUCATION (Child TF056633)
P101446,Enhanced Justice Sector Services Project - Mongolia
P101453,Institutional Reform Development Policy Grant
P101456,Liberia Infrastructure Rehabilitation Project
P101471,Peru First Progrmmatic Environmental Development Policy Loan /DDO
P101473,Urban Water Supply and Sanitation Project
P101474,Urban Local Govt Development Project
P101486,Fourth Poverty Reduction Support Credit
P101502,Afghanistan HIV/AIDS Prevention Project
P101504,Second Bolsa Famï¿½lia
P101507,RGN Rural Poverty Reduction- Additional Financing
P101508,Rio de Janeiro Sustainable Rural Development Project
P101525,CN Yunnan Honghe Prefecture Diannan Center Urban Transport
P101556,Electricity Access (Rural) Expansion Project Phase II
P101570,Mauritius Development Policy Loan
P101578,PNG Energy Sector Development Project
P101590,Second Programmatic Fiscal Mgmt and Competitiveness Development Policy Loan
P101592,Additional Financing for the  Dushanbe Water Supply Project
P101608,VN-Avian & Human Influenza Control &Prep
P101614,Public Sector Modernization Project
P101641,Forest Additional Financing Project
P101645,TZ-Energy Development & Access Expansion Project
P101650,IN Andhra Pradesh and Telangana Rural Water Supply and Sanitation
P101653,POWER SYSTEM DEVELOPMENT PROJECT IV
P101670,KDP and Community-based MDG Achievement
P101684,Trade and Transport Facilitation II
P101699,LK: Renewable Energy - AF
P101716,Jilin Agricultural Product Safety and Quality
P101724,Vietnam Poverty Reduction Support Credit 6
P101745,DEMOCRATIC REPUBLIC OF CONGO - High Priority Reopening and Maintenance Project
P101750,Lao PDR Customs and Trade Facilitation Project
P101785,Aceh Infrastructure Reconstruction Financing Facility (IRFF)
P101829,Xining Flood and Watershed Management
P101844,Sustainable Development in Poor Rural Communities (GEF)
P101852,Health Insurance Project
P101879,Additional Financing for the Rural Poverty Reduction Project - Pernambuco
P101912,SD - Livestock and Fisheries Development Project - MDTF
P101928,Health Sector Technology Transfer and Institutional Reform
P101950,HIV/AIDS MAP Supplemental
P101955,Improving Livestock Production and Marketing Project - A Pilot
P101964,National Program Support for Tax Administration Reform.
P101981,CG-TRANSPARENCY & GOVERN. SUPPL
P101988,Jiangxi Shihutang Navigation and Hydropower Complex Project
P102000,Transport Sector Project
P102018,DPL
P102029,Nigeria Lagos Urban Transport Project
P102031,MR - Business Environment Enhancement Project
P102040,Second Government Reform & Growth Credit
P102095,Natural Gas Distribution for Low Income Families in the Caribbean Coast.
P102117,Second Education Sector Development Project
P102119,Nigeria HIV/AIDS Program Development Project II
P102160,Social Sectors Institutional Reform Development Policy Loan (SIR DPL II)
P102165,Avian Influenza Control and Human Pandemic Preparedness and Response Project
P102170,Urban Infrastructure Additional Financing
P102172,Project in Support of Restructuring of Health Sector
P102174,Institutional Development for Education Project
P102177,Technical & Vocational Education Modernization (TVEM)
P102181,Social Fund for Development 3 (supplem.)
P102262,Zanzibar Basic Education Improvement Project
P102284,Cambodia Second Health Sector Support Program
P102288,Afghanistan: Emergency National Solidarity Project II
P102299,Botswana National HIV/AIDS Prevention Support Project
P102302,Poverty Reduction Support Credit
P102305,Avian Influenza Preparedness and Response Project
P102315,Sudan Microfinance Development Facility Project
P102316,Additional Financing Argentina Provincial Agricultural Development Project - Ln. 7425-0 AR
P102319,MDTF South Sudan Private Sector Development
P102328,Karnataka Community Based Tank Management Project (Supplement)
P102329,Rajasthan Rural Livelihoods Project (RRLP)
P102330,North East Rural Livelihoods Project (NERLP)
P102331,Second Madhya Pradesh District Poverty Initiatives Project (MPDPIP-II)
P102333,Punjab-Irrigation Sector Development Policy Loan II
P102354,COMMUNITY ACTION PROGRAM (PAC2)
P102365,Rijeka Gateway II
P102368,Integrated Transport
P102376,Economic Governance Technical
P102395,Second Coastal Cities Pollution Control Project
P102396,PG Second Mining Sector Inst Strengthening TA
P102398,Road Sector Project
P102446,AR Additional Financing Small Farmer Development Project (PROINDER)
P102459,Irrigation Development and Support Project
P102478,Senegal Sanitation- Supporting Access to on-site sanitation services through OBA scheme in Senegal
P102479,Bolivia Decentralized Electricity for Universal Access
P102487,Higher Education Reform for the Knowledge Economy
P102508,BI-ERSG II
P102513,PH-EC TF for Health Sector Reform
P102527,Morocco Urban WS&S Access Pilots
P102541,Third Programmatic Education Sector Development Support Credit
P102547,India:  Elementary Education (Sarva Shiksha Abhiyan II)
P102549,India: Technical Engineering Educational Quality Improvement II
P102573,Afghanistan Skills Development Project
P102576,Development Policy Operation DPO I  FY07
P102607,Higher Education Support Program
P102608,Pakistan: Punjab Education Sector Project
P102624,Kerala Local Government and Service Delivery
P102627,India - Bihar Panchayat Strengthening Project
P102651,Private and Financial Sector Policy Based Guarantee
P102675,Ghana Agriculture DPL
P102709,Programmatic Support for Institution Building III
P102732,Coastal Cities Pollution Control Project 2
P102733,Water Sector Investment Project
P102737,IN: Bihar DPL
P102767,SME Financing and Development Project: Additional Financing
P102768,Strengthening India's Rural Credit Cooperatives
P102771,Financing Public Private Partnerships (PPPs) in Infrastructure through Support to the India Infrastructure Finance Company Ltd
P102778,Revenue Administration Modernization Project
P102790,India - Chiller Energy Efficiency Project - MP Component
P102792,Road Maintenance and Rehabilitation Project (Supplemental)
P102807,Avian and Human Influenza Control and Prevention
P102818,BR AF Espirito Santo Water & Coastal Pollution Management
P102915,Re-engagement and Reform Support Program
P102931,Ministry of Public Works Institutional Strengthening TAL
P102966,Community-based Poverty Reduction Project Supplemental
P102971,Natural Resources and Environmental Governance Project
P103022,Ethiopia Protection of Basic Services Program Phase II Project
P103037,Electricity Expansion
P103063,LB- GREATER BEIRUT WATER SUPPLY
P103160,Pakistan: Social Safety Net Project
P103189,"Africa Stockpiles Programme - Project 1 (Mali, Morocco and Tanzania)"
P103238,Vietnam Renewable Energy Development Project
P103241,CI-Azito Partial Risk Guarantee (FY99)
P103276,EIP Supplemental Component
P103277,Fourth Poverty Reduction Support Credit
P103298,AFCC2/RI-Lake Victoria Environmental Management Project II
P103329,CV-Growth & Compet Supplemental Credit
P103343,National Emergency Rural Access Project
P103441,Second Public Expenditure Management
P103457,Community Based Settlement Rehabilitation for Yogyajarta
P103466,PRSC 2
P103470,Sustainable Financing & Management of Eastern Caribbean Marine Ecosystem Project
P103491,SAVINGS AND RURAL FINANCE (BANSEFI) ADDITIONAL FINANCING  PROJECT
P103499,Nigeria - Growth & Employment
P103539,Conservancy Adaptation Project
P103606,Madagascar Sustainable Health System Development Project
P103631,Sixth Poverty Reduction Support Credit
P103633,Second Central Transport Corridor Project
P103639,Eastern Nile Planning Model
P103654,Indonesia-Avian and Human Influenza Control and Preparedness
P103703,COMMUNITY DEV ADDT'L FIN
P103712,Reproductive and Child Health - Phase I
P103740,Health Sector Reconstruction and Development Project - Additional Financing
P103770,ALAGOAS FISCAL AND PUBLIC MANAGEMENT REFORM
P103773,Business Environment Strengthening Technical Assistance (BESTAP)
P103875,LB - Municipal Infrastructure
P103881,HN Water and Sanitation Sector Modernization Project
P103885,West Beka'a Emergency Water Supply Project
P103922,Agro-biodiversity and Adaptation
P103941,Second Poverty Reduction Support Credit
P103950,Governance and Institutional Development Project II
P103974,Conditional Cash Transfers Project
P103999,BD Chittagong Water Supply Improvement and Sanitation Project
P104015,Nepal: Enhanced Vocational Education and Training
P104034,Power Sector Efficiency Enhancement Project (PROMEF)
P104041,DRC Enhancing Governance Capacity
P104097,VN - Program 135 Phase 2 Support Credit
P104164,National Rural Livelihoods Project
P104185,ID - KDP3 Second Phase - Add'l Financing
P104189,Multi-Sectoral HIV/AIDS Project - Additional Financing
P104253,GZ-Integrated Community Development Supplemental
P104257,GZ-Village and Neighborhood Development Project
P104265,MA-Support to ONE (Office National de l'Electricitï¿½)
P104266,Energy Efficiency
P104272,SIEP SUPPLEMENT
P104287,Development Forestry Sector Management Project
P104301,Expanding Microfinance Outreach and Improving Sustainability
P104339,TP-PRIMARY EDUCATION SUPPORT PROJECT(TF056715)
P104357,Yogyakarta and Central Java Earthquake Roof Structure Project
P104393,Additional Financing for Rehabilitating Earthquake Affected Communities II
P104403,Lesotho New Hospital PPP
P104405,Pre-paid Health Scheme Pilot in Nigeria
P104456,CM-Energy Sector Development SIL (FY08)
P104467,Health System Modernization Project (APL2) in Support of the Second Phase of the Health Sector Reform Program
P104483,Social Investment Program (Supplemental)
P104497,DRC Emergency Urban and Social Rehabilitation Project
P104507,Additional Financing for Colombia Social Safety Net Project (Ln. 7337)
P104523,AFCC2/RI-IGAD Regional HIV/AIDS Partnership Program (IRAPP) Support Project
P104525,Cameroon Health Sector Support Investment (SWAP)
P104566,Water Services and Institutional Support Project
P104567,Second Rural Productive Partnerships Project
P104595,CAR - Emergency Urban Infrastructure Rehabilitation & Maintenance
P104662,Freetown Water Supply Rehabilitation
P104670,TIEN SHAN ECOSYSTEM DEVELOPMENT PROJECT
P104687,Mainstreaming Sustainable Cattle Ranching
P104690,Haiti Catastrophe Insurance
P104694,Higher Education Development Policy Program - First Operation
P104716,LR-Agriculture & Infrastructure Development  Project
P104724,Andhra Pradesh Rural Poverty Reduction: Drought Adaptative Initiative Project
P104743,Maldives - Pension and Social Protection Administration
P104749,Justice Sector Support Project
P104752,Paraï¿½ba Second Rural Poverty Reduction
P104760,PE Sierra Irrigation Subsector
P104774,LB-EMERGENCY POWER SECTOR REFORM CAPACITY REINFORCEMENT
P104786,SD - Support to Agriculture and Forestry Development Project (ERL)
P104794,Health Sector Strategic Plan Support Project
P104806,Mekong Integrated Water Resources Management
P104848,Ho Chi Minh City Investment Fund for Urban Development Project
P104868,Sudan New Unified National Currency Project
P104881,Competitiveness and Integrated Growth Opportunity Project (CIGOP)
P104883,Madagascar Microfinance Project - Additional Financing
P104890,DJ-FLOOD EMERGENCY REHAB ADD. GRANT
P104900,Pakistan: Additional Financing for the Second Partnership for Polio Eradication Project
P104931,Second Development Policy Grant
P104937,Solid Waste Sector DPL
P104945,Mozambique Water Private Sector Contracts - OBA for coverage expansion
P104946,Yemen Safe Motherhood Voucher Program
P104960,JO-AMMAN SOLID WASTE MANAGEMENT AND CARBON FINANCE
P104983,Additional Financing for the Mineral Resources Governance Project
P104984,Buenos Aires Urban Transport -PTUBA - Additional Financing
P104985,Rehabilitation Program (ARP) I#Contaminated Sites Rehabilitation
P104990,Fourth Poverty Reduction Strategy Grant
P104993,Emergency Services Support Program Multi-Donor Trust Fund
P104994,Bishkek and Osh Urban Infrastructure Project
P104995,Santos Municipality
P105002,ID National Program for Community Empowerment in Rural Areas
P105024,Social Protection Project
P105026,M&E Supplement - Governance and Institutional Development Project
P105027,Water Supply Infrastructure Improvement Additional Financing
P105029,Third Programmatic Business Product and Efficiency Development Policy Loan
P105036,Second Education Reform for the Knowledge Economy
P105044,Additional Financing for Transport Infrastructure Investment Project
P105075,Third Pakistan Poverty Alleviation Fund Project
P105076,Pakistan Poverty Alleviation Fund Project II Suppl Social Mobilization
P105092,Nutrition and Malaria Control for Child Survival
P105093,TZ-Health Sector Development II Scale-Up
P105097,Nigeria HIV/AIDS Additional Financing
P105098,Ghana Small Towns Water Supply & Sanitation Additional Financing
P105101,The AO-Local Development Project
P105116,Social Protection Development
P105120,Additional Financing: Mekong Transport and Flood Protection Project
P105122,Rural Economic Development Initiative
P105124,Himachal Pradesh Development Policy Loan 1
P105135,Madagascar Fifth Poverty Reduction Strategy Credit
P105140,West Africa Regional Biosafety
P105143,Albania MD Capacity Building & Support to Implement the Integrated Planning System
P105155,Agricultural Services and Producer Organizations Project
P105164,"Second Student Loan Support Project, APL Phase I"
P105171,Irrigation Development Additional Financing
P105176,Second Rural Sector Support
P105205,MZ Higher Education Project (Supplemental)
P105220,Lower Kihansi Environmental Management Project 2
P105229,Mainstreaming Climate Change Adaptation in Irrigated Agriculture Project
P105238,CROATIA RIJEKA GATEWAY - ADDITIONAL FINANCING
P105255,Poverty Reduction Support Operations 4
P105256,Agricultural Development Programme Support Project SIL (FY08)
P105269,Judicial Performance Improvement
P105270,Serbia Irrigation and Drainage Rehabilitation Project Additional Financing
P105279,Senegal Energy Sector Recovery Development Policy Financing
P105282,Liberia Health Systems Reconstruction
P105287,Vietnam Poverty Reduction Support Credit 7
P105288,AR Buenos Aires Infra Sustainable Investment Dev Proj Phase II
P105291,Education Sector Investment Program II - Scaling up
P105311,IN West Bengal Accelerated Development of Minor Irrigation
P105329,GMS Power Trade (Cambodia) Project
P105331,GMS Power Trade (Laos) Project
P105362,FY07 Niger Avian Flu Component in the PAC CDD project  (additional financing)
P105386,Natural Disaster Mitigation - Additional Scale Up Financing
P105403,Second Land Administration Project (LAP-2)
P105404,GZ-SOUTHERN WEST BANK SOLID WASTE MANAGEMENT
P105424,Economic Management Capacity Building Additional Financing
P105492,Emergency Irrigation Rehabilitation (Supplemental)
P105526,Public Policy Reform Technical Assistance Additional Financing Loan
P105555,Basic Education -Additional Financing
P105602,GOVERNMENT`S CENTRAL PUBLIC ADMINISTRATION REFORM (CPAR)
P105637,Fourth Development Policy Loan
P105649,Second Agricultural Research and Technology Additional Financing
P105651,"Ethiopia Electricity Access Rural Expansion Project, Phase II - GPOBA"
P105654,Additional Financing for Southern Africa Power Market Project (APL1)
P105669,Mauritius - Economic Transition (TA) Project
P105680,Matanza-Riachuelo Basin Sustainable Development Project
P105683,Community Empowerment II
P105710,First Competitiveness and Public Financial Management DPL
P105711,Africa Stockpiles Programme - P1 Ethiopia
P105715,Rural Investment and Local Governance Additional Financing
P105724,Population and HIV AIDS Additional Financing
P105727,Pamir Additional Financing
P105729,DRC: Emergency Demobilization & Reintegration - Additional Financing
P105742,Additional Credit for Second Poverty Alleviation Microfinance Project
P105750,EG-AIRPORTS DEV ADDITIONAL FINANCING
P105775,Mizoram Roads - Additional Financing
P105860,Poverty Alleviation Fund II
P105866,CBEMP Supplemental Credit
P105870,Kosovo Energy Sector Clean-up of Gasification Site
P105872,Integrated Forestry Development Project
P105881,Sustainable Management of Fish Resources
P105897,READ PNG
P105959,BR Sao Paulo Metro Line 4 - Additional Financing
P105990,West Bengal PRI
P106038,BR  Sao Paulo Trains and Signalling
P106063,West Africa Regional Fisheries Program
P106083,Fifth Poverty Reduction Support  Grant
P106103,Add Fin - Consolidation of Protected Areas System Project SINAP II - Third Tranche
P106161,Bangladesh - Secondary Education Quality and Access Improvement
P106165,Lao PDR Trade Development Facility Project
P106170,AF: ARTF-Management Capacity Program
P106172,Nigeria Electricity and Gas Improvement Project (NEGIP)
P106188,LA - Poverty Reduction Fund Project
P106200,Northern Corridor Additional Financing
P106208,PE SWAP Pernambuco Educ Results& Account. (PERA)
P106216,Bangladesh - Higher Education Quality Enhancement Project
P106220,Timor Leste - Youth Development Project
P106228,Ethiopia Nutrition (FY08)
P106235,Da Nang-Quang Ngai Expressway Development Project
P106259,Afghanistan - Second Education Quality Improvement Program
P106261,MX Sustainable Rural Development
P106262,Bicol Power Restoration Project
P106274,Export Development II
P106280,Lagos Eko Secondary Education Project
P106283,NI Rural Water Supply and Sanitation Project (PRASNICA)
P106284,Turkey Land Registration and Cadastre Modernization Project
P106332,Bangladesh Disability and Children at Risk
P106355,Competitiveness and Private Sector Development
P106369,Regional Communications Infrastructure Program (Phase 2) - Rwanda Project
P106384,Statistical Capacity Building-Change and Reform for the Development of Statistics (STATCAP-CERDAS)
P106390,Sao Paulo Metro Line 4 (PHASE 2)
P106424,Efficient lighting and appliances
P106427,Rio de Janeiro Mass Transit - Additional Financing
P106433,Pilot Community Development Additional Financing
P106443,PH-Support for Basic Ed. Sector Reform
P106445,Health Equity and Performance Improvement Project
P106449,Emergency Recovery and Disaster Management
P106451,Education for All Fast Track Initiative Catalytic Fund Grant
P106457,ENHANCING GOVERNANCE AND ECONOMIC MANAGEMENT SYSTEMS II
P106458,Economic Management and Governance Reform Grant
P106468,Sao Tome Public and Natural Resource Management Development Policy Grant
P106489,Lebanon Emergency Social Protection Implementation Support Grant
P106502,POVERTY REDUCTION SUPPORT CREDIT IV
P106528,MX Results-based Management and Budgeting
P106559,Protection of Basic Services - Additional Financing
P106580,LPTAP Additional Financing 1
P106589,Information Technology Development
P106596,ROAD REHABILITATION AND MAINTENANCE PROJECT PHASE II
P106603,Road Asset Management Project
P106605,Higher Education Quality and Capacity Improvement Project
P106619,Health Sector Reform Second Phase APL (PARSS 2)
P106621,HT - MEETING TEACHER NEEDS FOR EFA
P106622,Jamaica Second HIV/AIDS Project
P106623,Barbados Second HIV/AIDS Project
P106628,Consolidation of National Public Management Information Systems
P106641,Competitiveness and Public Financial Management DPL 2
P106650,Mauritius Second Development Policy Loan (FY08)
P106654,ARTF - Kabul-Aybak/Mazar-e-Sharif Power Project
P106663,Sao Paulo Feeder Roads Project
P106671,Agriculture Development Program SLM
P106680,Second Land Administration Project
P106682,Savings and Rural Finance SAGARPA Additional Financing
P106684,AR PROSAP2 - Second Provincial Agricultural Development
P106685,AR Socio-Economic Inclusion In Rural Areas
P106686,Basic Education Quality Improvement Project
P106689,Haiti Emergency Recovery and Disaster Management (Additional Financing)
P106699,Haiti - Urban Community Driven Development Project / PRODEPUR
